insects 	 Oedemera_lurida 	 genomic_data 	 icOedLuri1 	 hic-arima2
insects 	 Oedemera_lurida 	 genomic_data 	 icOedLuri1 	 pacbio
insects 	 Oedemera_lurida 	 genomic_data 	 icOedLuri2 	 10x
insects 	 Oedemera_lurida 	 genomic_data 	 icOedLuri2 	 hic-arima2
insects 	 Oedemera_lurida 	 genomic_data 	 icOedLuri2 	 pacbio
insects 	 Oedemera_nobilis 	 genomic_data 	 icOedNobi1 	 10x
insects 	 Oedemera_nobilis 	 genomic_data 	 icOedNobi1 	 hic-arima2
insects 	 Oedemera_nobilis 	 genomic_data 	 icOedNobi1 	 pacbio
insects 	 Omphaloscelis_lunosa 	 genomic_data 	 ilOmpLuno1 	 10x
insects 	 Omphaloscelis_lunosa 	 genomic_data 	 ilOmpLuno1 	 hic-arima2
insects 	 Omphaloscelis_lunosa 	 genomic_data 	 ilOmpLuno1 	 pacbio
insects 	 Onthophagus_coenobita 	 genomic_data 	 icOntCoen1 	 hic-arima2
insects 	 Operophtera_brumata 	 genomic_data 	 ilOpeBrum1 	 pacbio
insects 	 Operophtera_brumata 	 genomic_data 	 ilOpeBrum4 	 hic-arima2
insects 	 Operophtera_fagata 	 genomic_data 	 ilOpeFaga1 	 10x
insects 	 Operophtera_fagata 	 genomic_data 	 ilOpeFaga1 	 hic-arima2
insects 	 Operophtera_fagata 	 genomic_data 	 ilOpeFaga1 	 pacbio
insects 	 Ophion_luteus 	 genomic_data 	 iyOphLute1 	 10x
insects 	 Ophion_luteus 	 genomic_data 	 iyOphLute1 	 hic-arima2
insects 	 Ophion_luteus 	 genomic_data 	 iyOphLute1 	 pacbio
insects 	 Ophion_obscuratus 	 genomic_data 	 iyOphObsc1 	 10x
insects 	 Ophion_obscuratus 	 genomic_data 	 iyOphObsc1 	 hic-arima2
insects 	 Ophonus_ardosiacus 	 genomic_data 	 icOphArdo1 	 10x
insects 	 Ophonus_ardosiacus 	 genomic_data 	 icOphArdo1 	 hic-arima2
insects 	 Ophonus_ardosiacus 	 genomic_data 	 icOphArdo1 	 pacbio
